Created - 22:12:32.158037: Large marble: Winner, marbles: Lemon Lime, Emerald, Honeydew, Big Dip O’ruby, Light Orange, Green, Antique Bronze
Created - 22:12:32.270296: Large marble: Zeus, marbles: Chinese Red, Mint Cream, Mimi Pink, Mode Beige, Pale Goldenrod, Granny Smith Apple, Pale Plum
Created - 22:12:32.379427: Large marble: Apollo, marbles: Bistre Brown, Duke Blue, Sage, Indigo, Orange Peel, Auburn, Middle Red Purple
Created - 22:12:32.489433: Large marble: Lucky, marbles: Duke Blue, Antique Brass, Fiery Rose, Fiery Rose, Middle Red Purple, Eerie Black, Royal Red
Created - 22:12:32.599450: Large marble: Lucky, marbles: Middle Red Purple, Pastel Blue, Maximum Violet, Spanish Orange, Antique Brass, Isabelline, Ruby
Created - 22:12:32.709292: Large marble: Zeus, marbles: Maximum Blue, Indigo, Purple Plum, Middle Green Yellow, Duke Blue, Candy Pink, Indigo
Created - 22:12:32.816012: Large marble: Spinner, marbles: La Salle Green, Beaver, Pastel Gray, Mint Cream, Orange Soda, Terra Cotta, Orange Soda
Created - 22:12:32.925543: Large marble: Apollo, marbles: Green, Vegas Gold, Gold, Light Orange, Antique Bronze, Arylide Yellow, Maximum Violet
Created - 22:12:33.034338: Large marble: Spinner, marbles: Orange Peel, Spanish Pink, Fiery Rose, Royal Orange, Slate Blue, Lilac Luster, Brown
Created - 22:12:33.144119: Large marble: Lucky, marbles: Middle Green, Ruby, Liver Chestnut, Neon Silver, Pale Plum, Spanish Pink, Bistre Brown
Created - 22:12:33.253613: Large marble: Sure Shot, marbles: Stop Red, Candy Pink, Antique Bronze, Big Dip O’ruby, Pastel Gray, Light Orchid, Zomp
Created - 22:12:33.363271: Large marble: Lucky, marbles: Indigo, Brink Pink, Middle Red Purple, Gold, Lavender Blue, Gold, Lilac Luster
Created - 22:12:33.471068: Large marble: Sure Shot, marbles: Pale Taupe, Mint Green, Honeydew, Rose Quartz, Mimi Pink, Royal Blue, Royal Red
